"Label (Grouping)","Bronx borough, Bronx County, New York!!Households!!Estimate","Bronx borough, Bronx County, New York!!Households!!Margin of Error","Bronx borough, Bronx County, New York!!Families!!Estimate","Bronx borough, Bronx County, New York!!Families!!Margin of Error","Bronx borough, Bronx County, New York!!Married-couple families!!Estimate","Bronx borough, Bronx County, New York!!Married-couple families!!Margin of Error","Bronx borough, Bronx County, New York!!Nonfamily households!!Estimate","Bronx borough, Bronx County, New York!!Nonfamily households!!Margin of Error","Brooklyn borough, Kings County, New York!!Households!!Estimate","Brooklyn borough, Kings County, New York!!Households!!Margin of Error","Brooklyn borough, Kings County, New York!!Families!!Estimate","Brooklyn borough, Kings County, New York!!Families!!Margin of Error","Brooklyn borough, Kings County, New York!!Married-couple families!!Estimate","Brooklyn borough, Kings County, New York!!Married-couple families!!Margin of Error","Brooklyn borough, Kings County, New York!!Nonfamily households!!Estimate","Brooklyn borough, Kings County, New York!!Nonfamily households!!Margin of Error","Manhattan borough, New York County, New York!!Households!!Estimate","Manhattan borough, New York County, New York!!Households!!Margin of Error","Manhattan borough, New York County, New York!!Families!!Estimate","Manhattan borough, New York County, New York!!Families!!Margin of Error","Manhattan borough, New York County, New York!!Married-couple families!!Estimate","Manhattan borough, New York County, New York!!Married-couple families!!Margin of Error","Manhattan borough, New York County, New York!!Nonfamily households!!Estimate","Manhattan borough, New York County, New York!!Nonfamily households!!Margin of Error","Queens borough, Queens County, New York!!Households!!Estimate","Queens borough, Queens County, New York!!Households!!Margin of Error","Queens borough, Queens County, New York!!Families!!Estimate","Queens borough, Queens County, New York!!Families!!Margin of Error","Queens borough, Queens County, New York!!Married-couple families!!Estimate","Queens borough, Queens County, New York!!Married-couple families!!Margin of Error","Queens borough, Queens County, New York!!Nonfamily households!!Estimate","Queens borough, Queens County, New York!!Nonfamily households!!Margin of Error","Staten Island borough, Richmond County, New York!!Households!!Estimate","Staten Island borough, Richmond County, New York!!Households!!Margin of Error","Staten Island borough, Richmond County, New York!!Families!!Estimate","Staten Island borough, Richmond County, New York!!Families!!Margin of Error","Staten Island borough, Richmond County, New York!!Married-couple families!!Estimate","Staten Island borough, Richmond County, New York!!Married-couple families!!Margin of Error","Staten Island borough, Richmond County, New York!!Nonfamily households!!Estimate","Staten Island borough, Richmond County, New York!!Nonfamily households!!Margin of Error"
"Total","533,035","±3,366","329,608","±7,357","139,814","±6,863","203,427","±6,989","1,026,361","±4,771","584,460","±9,895","361,735","±9,056","441,901","±9,417","803,844","±9,226","322,646","±8,646","217,775","±7,446","481,198","±11,533","839,853","±4,648","556,133","±8,095","364,485","±8,799","283,720","±8,480","169,946","±2,372","124,667","±3,790","91,618","±3,416","45,279","±3,510"
"    Less than $10,000","14.4%","±1.3","10.4%","±1.2","3.4%","±1.0","22.0%","±2.3","8.1%","±0.5","5.9%","±0.6","2.8%","±0.5","12.0%","±1.0","9.1%","±0.7","5.8%","±1.1","1.6%","±0.6","11.5%","±1.1","5.9%","±0.4","3.6%","±0.5","2.3%","±0.5","11.1%","±1.2","6.1%","±1.2","3.8%","±1.1","2.1%","±0.8","13.4%","±3.2"
"    $10,000 to $14,999","8.2%","±0.9","5.0%","±1.0","2.2%","±0.8","14.2%","±1.8","5.2%","±0.4","2.9%","±0.4","1.8%","±0.4","8.6%","±0.8","5.3%","±0.6","3.2%","±0.9","1.1%","±0.4","6.9%","±1.0","3.7%","±0.4","2.2%","±0.4","2.1%","±0.5","6.7%","±0.8","3.0%","±0.8","1.6%","±0.7","0.9%","±0.5","6.7%","±2.2"
"    $15,000 to $24,999","9.7%","±0.9","9.0%","±1.2","6.2%","±1.3","11.9%","±1.5","7.5%","±0.5","6.8%","±0.7","5.9%","±0.7","9.1%","±0.8","6.1%","±0.6","4.6%","±0.8","2.9%","±0.6","7.1%","±0.8","6.3%","±0.5","5.4%","±0.6","4.1%","±0.6","8.9%","±1.0","5.7%","±1.1","3.9%","±1.1","3.5%","±1.1","11.0%","±3.2"
"    $25,000 to $34,999","8.8%","±0.8","9.1%","±1.0","6.6%","±1.5","8.9%","±1.4","6.8%","±0.5","6.6%","±0.6","6.0%","±0.8","7.4%","±0.9","4.5%","±0.5","5.1%","±1.0","3.1%","±0.9","4.2%","±0.7","6.8%","±0.5","6.6%","±0.6","5.3%","±0.7","8.5%","±0.9","6.3%","±1.3","4.2%","±1.1","4.0%","±1.2","13.0%","±3.5"
"    $35,000 to $49,999","12.0%","±1.3","12.8%","±1.5","11.1%","±1.8","11.4%","±1.9","9.1%","±0.7","9.3%","±0.9","7.8%","±1.0","9.4%","±0.9","7.1%","±0.7","6.3%","±1.0","4.3%","±1.0","7.5%","±1.0","8.5%","±0.6","8.8%","±0.7","7.9%","±0.8","8.9%","±1.0","7.6%","±1.2","6.8%","±1.4","4.9%","±1.3","11.0%","±2.7"
"    $50,000 to $74,999","15.5%","±1.1","17.1%","±1.3","16.6%","±2.2","12.8%","±1.6","13.7%","±0.7","14.3%","±0.9","12.1%","±1.1","12.5%","±0.9","10.3%","±0.8","8.7%","±1.2","6.5%","±1.2","11.5%","±1.1","16.0%","±0.8","15.7%","±0.9","14.6%","±1.1","17.8%","±1.7","12.5%","±1.6","12.1%","±1.8","10.5%","±2.0","15.1%","±3.3"
"    $75,000 to $99,999","10.6%","±1.0","11.3%","±1.2","14.0%","±2.1","8.4%","±1.4","11.7%","±0.7","12.3%","±0.9","11.7%","±1.0","10.9%","±0.8","8.9%","±0.8","7.8%","±1.1","6.3%","±1.4","9.7%","±1.1","12.0%","±0.6","12.8%","±0.8","12.0%","±1.0","11.4%","±1.0","11.6%","±1.6","12.0%","±1.6","11.0%","±1.9","9.4%","±3.2"
"    $100,000 to $149,999","11.0%","±1.0","12.9%","±1.5","19.6%","±2.5","6.7%","±1.2","14.9%","±0.7","15.7%","±0.9","17.0%","±1.0","13.2%","±1.0","13.2%","±0.9","11.8%","±1.4","11.8%","±1.8","13.9%","±1.2","18.3%","±0.8","19.1%","±0.9","20.1%","±1.0","14.0%","±1.2","19.5%","±2.0","21.8%","±2.2","22.8%","±2.6","13.1%","±3.5"
"    $150,000 to $199,999","5.5%","±0.7","7.2%","±0.9","11.7%","±1.9","2.3%","±0.7","8.3%","±0.6","9.1%","±0.8","11.3%","±1.0","6.5%","±0.6","8.8%","±0.8","8.7%","±1.2","11.0%","±1.5","8.8%","±1.0","10.5%","±0.5","12.2%","±0.7","14.5%","±1.0","6.0%","±0.9","11.1%","±1.3","13.7%","±1.8","14.9%","±2.0","4.1%","±1.5"
